aX,aY,aZ,gX,gY,gZ
0.196,-0.024,3.092,-43.030,-32.654,36.377
0.197,-0.039,3.410,-35.522,-9.583,32.715
0.172,-0.090,3.591,-19.104,9.033,26.733
0.071,-0.114,3.585,6.287,27.039,21.484
-0.052,-0.142,3.480,33.630,44.983,17.151
-0.143,-0.167,3.379,53.650,63.843,14.038
-0.256,-0.132,3.268,71.045,81.970,13.489
-0.338,-0.098,3.152,90.698,97.107,14.893
-0.427,-0.081,3.020,107.605,107.666,15.564
-0.518,-0.041,2.862,123.108,116.577,15.259
-0.614,-0.011,2.647,141.541,122.009,15.869
-0.719,0.025,2.362,160.706,124.390,17.395
-0.805,0.070,2.027,177.734,125.671,19.775
-0.833,0.120,1.670,190.918,124.756,22.522
-0.817,0.168,1.327,199.036,121.704,23.926
-0.845,0.211,0.955,201.904,119.080,22.949
-0.842,0.238,0.565,199.890,120.239,22.278
-0.823,0.275,0.174,192.688,127.991,26.123
-0.849,0.272,-0.153,180.664,139.099,28.076
-0.845,0.260,-0.377,160.583,149.475,29.175
-0.806,0.259,-0.520,140.686,156.616,31.921
-0.753,0.268,-0.587,127.869,159.119,37.354
-0.615,0.308,-0.612,118.164,159.180,45.715
-0.439,0.382,-0.668,113.464,158.264,57.556
-0.180,0.483,-0.771,117.615,155.457,70.923
0.138,0.606,-1.021,127.441,147.522,79.224
0.448,0.712,-1.424,137.268,135.254,79.590
0.715,0.804,-1.906,139.160,125.366,70.313
0.837,0.797,-2.314,124.512,120.544,47.974
0.787,0.748,-2.530,92.285,115.967,17.151
0.639,0.713,-2.653,54.077,107.910,-9.094
0.380,0.671,-2.749,29.358,89.844,-27.222
0.061,0.617,-2.833,15.259,50.964,-39.856
-0.308,0.585,-2.941,5.554,-6.592,-46.387
-0.579,0.563,-3.036,-4.272,-73.853,-44.189
-0.761,0.597,-3.101,-19.043,-137.024,-36.133
-0.836,0.662,-3.142,-41.809,-178.955,-28.992
-0.861,0.743,-3.188,-79.529,-185.364,-23.437
-1.027,0.849,-3.095,-129.211,-159.851,-21.362
-1.210,0.927,-2.761,-188.965,-122.009,-19.226
-1.397,1.021,-2.230,-242.920,-94.971,-13.306
-1.509,1.118,-1.591,-278.320,-101.624,-5.615
-1.608,1.219,-1.020,-294.800,-145.691,0.549
-1.678,1.271,-0.481,-297.058,-206.726,3.052
-1.610,1.337,0.056,-300.171,-255.310,1.770
-1.508,1.428,0.618,-306.213,-274.353,-0.977
-1.420,1.505,1.328,-314.392,-269.043,-5.615
-1.452,1.544,2.170,-323.792,-251.099,-8.240
-1.399,1.568,3.152,-328.003,-228.455,-4.272
-1.159,1.444,4.000,-320.374,-210.144,7.996
-0.828,1.302,4.000,-293.579,-202.881,15.625
-0.591,1.079,4.000,-250.061,-192.932,18.005
-0.442,0.871,4.000,-208.923,-172.241,19.104
-0.297,0.726,4.000,-166.504,-146.851,21.118
-0.175,0.631,4.000,-122.498,-120.911,26.184
0.028,0.556,4.000,-90.515,-87.280,31.494
0.274,0.547,4.000,-69.336,-48.645,35.217
0.431,0.516,4.000,-41.138,-12.451,34.546
0.506,0.522,4.000,-6.226,15.503,30.090
0.557,0.520,4.000,28.381,41.809,27.832
0.595,0.539,4.000,61.584,71.899,26.611
0.564,0.569,4.000,91.675,103.027,20.691
0.458,0.589,4.000,120.544,133.240,11.108
0.312,0.622,4.000,145.874,157.410,0.183
0.094,0.648,4.000,167.847,172.974,-10.193
-0.043,0.665,3.816,182.861,183.289,-18.860
-0.222,0.680,3.452,196.045,189.453,-26.733
-0.433,0.673,3.053,207.397,191.467,-36.682
-0.680,0.661,2.634,212.036,189.148,-49.316
-0.875,0.660,2.240,216.553,188.843,-57.373
-1.031,0.660,1.828,223.145,189.514,-60.120
-1.170,0.637,1.395,227.783,189.697,-59.509
-1.308,0.625,0.973,230.286,189.636,-54.993
-1.387,0.577,0.620,230.347,183.228,-47.363
-1.402,0.584,0.327,228.333,171.814,-37.415
-1.420,0.562,-0.020,224.304,161.255,-24.292
-1.382,0.536,-0.366,215.454,154.480,-8.789
-1.202,0.514,-0.613,198.730,154.236,8.301
-0.989,0.503,-0.807,177.979,162.170,23.682
-0.820,0.457,-0.988,159.058,188.110,32.227
-0.600,0.477,-1.192,143.433,229.736,39.429
-0.436,0.558,-1.477,135.742,260.559,42.480
-0.281,0.641,-1.768,132.507,261.169,38.574
-0.221,0.617,-2.040,129.578,233.887,26.855
-0.256,0.586,-2.301,121.643,190.125,9.827
-0.327,0.516,-2.464,108.704,138.184,-2.075
-0.319,0.466,-2.507,85.571,84.106,-7.751
-0.275,0.452,-2.522,55.237,36.987,-10.437
-0.213,0.438,-2.447,28.259,1.953,-11.597
-0.165,0.427,-2.339,3.967,-23.743,-15.442
-0.182,0.402,-2.272,-14.648,-40.100,-21.362
-0.261,0.392,-2.300,-27.588,-48.096,-23.193
-0.371,0.371,-2.362,-39.734,-53.833,-21.729
-0.496,0.340,-2.331,-57.495,-62.012,-19.653
-0.611,0.346,-2.224,-79.102,-78.491,-16.418
-0.706,0.369,-2.139,-95.886,-104.431,-10.620
-0.837,0.407,-2.160,-110.291,-137.878,-5.798
-0.997,0.459,-2.163,-129.822,-169.434,-3.357
-1.118,0.513,-2.048,-161.133,-193.298,-2.136
-1.228,0.584,-1.819,-195.129,-207.092,-0.244
-1.297,0.703,-1.572,-217.590,-208.923,4.700
-1.443,0.834,-1.294,-233.765,-211.182,10.193
-1.619,0.937,-0.921,-251.526,-223.389,10.986
-1.705,1.068,-0.512,-266.235,-242.432,13.489
-1.674,1.216,-0.050,-274.353,-259.949,20.874
-1.612,1.312,0.603,-286.072,-277.039,24.048
-1.561,1.418,1.371,-303.894,-287.964,23.254
-1.634,1.453,2.222,-311.829,-285.034,22.644
-1.554,1.437,3.173,-308.899,-267.334,26.001
-1.210,1.423,4.000,-301.270,-238.708,36.072
-0.942,1.350,4.000,-270.996,-209.473,41.687
-0.689,1.200,4.000,-224.304,-186.890,42.358
-0.379,1.040,4.000,-179.565,-169.434,41.016
-0.136,0.941,4.000,-140.442,-148.560,37.048
-0.027,0.874,4.000,-105.164,-126.526,32.227
0.134,0.768,4.000,-83.435,-101.929,30.396
0.282,0.743,4.000,-66.406,-69.519,30.518
0.427,0.713,4.000,-43.579,-34.546,32.349
0.590,0.720,4.000,-24.536,-2.136,33.081
0.977,0.766,4.000,12.573,64.880,27.771
1.082,0.782,4.000,41.992,91.553,17.334
1.053,0.801,4.000,73.181,107.849,0.732
