aX,aY,aZ,gX,gY,gZ
0.045,-0.060,0.971,-0.427,-0.488,1.038
0.041,-0.061,0.967,0.244,-0.488,1.099
0.039,-0.059,0.961,0.000,-0.061,1.343
0.036,-0.058,0.962,-0.122,0.366,1.404
0.036,-0.057,0.965,-0.305,0.854,1.282
0.037,-0.058,0.972,-0.488,0.854,1.038
0.041,-0.062,0.981,-1.038,0.854,0.977
0.038,-0.063,0.989,-1.343,0.671,0.854
0.042,-0.061,0.988,-2.075,0.671,0.854
0.043,-0.060,0.989,-2.136,0.366,0.671
0.042,-0.056,0.983,-1.953,-0.244,0.366
0.038,-0.057,0.979,-1.648,-1.099,0.122
0.042,-0.056,0.969,-0.916,-1.709,0.427
0.041,-0.057,0.960,0.244,-1.587,0.305
0.037,-0.057,0.956,1.099,-1.038,0.122
0.039,-0.054,0.954,1.892,-0.488,0.183
0.043,-0.055,0.959,2.563,-0.061,0.244
0.044,-0.059,0.969,3.296,0.366,0.061
0.046,-0.062,0.978,3.052,0.671,0.305
0.048,-0.065,0.984,2.136,1.099,0.305
0.048,-0.066,0.984,0.793,1.038,0.427
0.047,-0.064,0.978,-0.610,0.732,0.854
0.043,-0.060,0.978,-1.770,0.427,1.160
0.037,-0.059,0.975,-2.563,0.305,1.282
0.043,-0.056,0.973,-2.625,0.244,1.282
0.045,-0.061,0.974,-2.319,0.366,1.587
0.045,-0.059,0.977,-1.892,0.305,1.709
0.045,-0.056,0.974,-1.221,0.488,1.892
0.047,-0.056,0.973,-0.244,1.038,1.831
0.048,-0.056,0.969,0.854,1.648,1.648
0.042,-0.060,0.967,1.587,1.465,1.465
0.042,-0.061,0.963,1.526,1.343,1.221
0.042,-0.062,0.961,1.038,1.282,0.916
0.042,-0.061,0.965,0.366,1.221,0.610
0.043,-0.062,0.969,0.122,1.343,0.427
0.046,-0.060,0.973,-0.305,1.404,0.488
0.052,-0.058,0.974,-0.610,0.977,0.793
0.049,-0.052,0.974,-0.610,0.366,0.610
0.048,-0.053,0.976,0.000,0.366,0.732
0.043,-0.053,0.981,0.732,0.488,0.610
0.042,-0.054,0.983,1.099,0.793,0.488
0.042,-0.052,0.985,1.160,1.099,0.671
0.041,-0.053,0.984,1.648,0.671,0.610
0.038,-0.052,0.988,2.319,1.221,0.610
0.033,-0.055,1.002,3.113,2.014,0.366
0.038,-0.060,1.030,3.784,2.197,-0.427
0.045,-0.078,1.082,3.357,1.648,-1.221
0.065,-0.108,1.154,0.061,0.977,-2.075
0.072,-0.105,1.193,-6.897,-0.671,-2.991
0.070,-0.101,1.186,-15.686,-4.944,-2.991
0.051,-0.090,1.191,-22.888,-11.353,-2.136
0.003,-0.054,1.238,-25.757,-19.165,-1.099
-0.007,-0.005,1.312,-23.865,-26.794,-0.061
0.016,0.008,1.425,-15.564,-31.128,2.319
0.043,-0.022,1.505,-3.479,-29.541,5.310
