aX,aY,aZ,gX,gY,gZ
-0.008,-0.034,0.969,0.671,-0.305,0.183
-0.008,-0.033,0.968,0.610,-0.183,0.122
-0.009,-0.033,0.968,0.610,-0.244,0.061
-0.008,-0.033,0.969,0.488,-0.305,0.061
-0.009,-0.033,0.968,0.671,-0.488,0.122
-0.008,-0.032,0.968,0.610,-0.244,0.244
-0.008,-0.032,0.969,0.549,-0.183,0.244
-0.008,-0.033,0.971,0.549,-0.183,0.244
-0.008,-0.032,0.969,0.488,-0.183,0.244
-0.008,-0.032,0.969,0.549,-0.183,0.244
-0.008,-0.032,0.969,0.610,-0.488,0.305
-0.008,-0.033,0.970,0.488,-0.183,0.244
-0.008,-0.032,0.969,0.793,-0.183,0.061
-0.009,-0.033,0.970,0.793,-0.183,0.000
-0.009,-0.032,0.969,0.488,-0.183,-0.122
-0.008,-0.032,0.969,0.488,-0.305,0.061
-0.008,-0.033,0.969,0.488,-0.122,0.000
-0.008,-0.033,0.970,0.549,-0.061,0.244
-0.008,-0.033,0.969,0.732,-0.244,0.183
-0.007,-0.033,0.971,0.671,-0.244,0.061
-0.009,-0.033,0.969,0.488,-0.244,0.183
-0.008,-0.032,0.969,0.549,-0.122,0.122
-0.008,-0.033,0.968,0.671,-0.122,0.000
-0.009,-0.032,0.970,0.610,-0.122,0.122
-0.008,-0.033,0.969,0.549,-0.122,0.122
-0.008,-0.033,0.970,0.610,-0.122,0.122
-0.008,-0.033,0.969,0.488,-0.122,0.122
-0.008,-0.032,0.970,0.671,-0.305,0.122
-0.009,-0.032,0.969,0.549,-0.183,0.244
-0.008,-0.032,0.969,0.671,-0.183,0.305
-0.008,-0.033,0.969,0.610,-0.244,0.183
-0.007,-0.033,0.969,0.549,-0.183,0.244
-0.008,-0.033,0.969,0.610,-0.061,0.305
-0.008,-0.032,0.972,0.671,-0.183,0.244
-0.008,-0.033,0.970,0.671,-0.122,0.244
-0.008,-0.032,0.970,0.671,-0.122,0.183
-0.008,-0.033,0.969,0.671,-0.366,0.122
-0.008,-0.032,0.969,0.793,-0.305,0.122
-0.009,-0.032,0.970,0.793,-0.305,0.183
-0.009,-0.032,0.970,0.916,-0.244,0.061
-0.007,-0.033,0.971,0.549,-0.122,0.305
-0.008,-0.032,0.970,0.488,-0.122,0.244
-0.008,-0.033,0.970,0.732,-0.122,0.183
-0.008,-0.032,0.969,0.793,-0.183,0.183
-0.008,-0.032,0.969,0.610,-0.122,0.061
-0.008,-0.032,0.969,0.610,-0.122,0.000
-0.008,-0.032,0.970,0.671,-0.244,0.183
-0.009,-0.033,0.969,0.610,-0.122,0.244
-0.009,-0.033,0.970,0.671,-0.183,0.061
-0.009,-0.032,0.971,0.671,-0.244,0.183
