aX,aY,aZ,gX,gY,gZ
0.898,-0.621,1.410,-21.301,-1.343,-84.106
0.919,-0.826,1.479,-14.893,-3.662,-88.562
0.911,-0.993,1.427,-9.277,-4.822,-91.675
0.939,-1.128,1.330,-1.587,4.700,-90.149
0.895,-1.271,1.223,0.122,28.564,-90.149
0.765,-1.376,1.152,-11.902,52.185,-95.215
0.657,-1.479,1.125,-31.006,69.885,-101.929
0.592,-1.538,1.086,-45.166,83.313,-104.614
0.394,-1.575,1.026,-52.734,97.351,-110.962
-0.052,-1.577,0.910,-61.523,113.770,-117.798
-0.583,-1.551,0.867,-74.646,134.155,-116.943
-1.005,-1.434,0.900,-87.830,152.649,-98.694
-1.326,-1.282,1.281,-93.323,160.828,-69.397
-1.606,-1.106,1.838,-89.905,138.123,-44.800
-1.871,-0.825,2.114,-61.218,80.261,-22.034
-2.130,-0.718,2.176,-6.287,4.639,-4.456
-2.391,-0.570,1.831,46.021,-67.017,5.676
-2.749,-0.371,1.229,83.130,-92.712,9.277
-3.252,-0.250,0.743,84.839,-66.650,5.615
-3.719,-0.007,0.737,48.645,-1.404,12.756
-3.895,0.347,1.009,4.395,70.618,41.504
-3.811,0.631,1.278,-5.493,105.042,81.543
-3.626,0.844,1.411,19.531,92.163,121.277
-3.196,1.204,1.103,55.603,49.927,160.461
-2.492,1.520,0.541,92.224,4.028,194.641
-1.648,1.805,0.097,106.934,-25.085,213.745
-1.040,2.091,-0.151,90.454,-41.626,212.158
-0.615,2.367,-0.189,61.462,-47.791,201.416
-0.314,2.550,-0.045,32.043,-45.776,196.350
-0.024,2.657,0.226,7.874,-49.011,194.885
0.354,2.735,0.466,-3.845,-62.439,194.275
0.617,2.761,0.569,-1.465,-77.271,185.364
0.591,2.693,0.569,2.319,-89.478,164.734
0.383,2.578,0.579,-3.540,-99.426,139.832
0.144,2.426,0.676,-17.273,-103.455,123.718
0.104,2.286,0.800,-30.457,-97.595,124.084
0.241,2.222,0.908,-36.621,-87.708,131.653
0.479,2.082,1.000,-37.720,-85.754,137.512
0.694,1.935,1.133,-38.025,-91.736,135.803
1.004,1.776,1.334,-40.710,-96.436,128.723
1.359,1.594,1.523,-41.748,-96.802,116.760
1.795,1.384,1.687,-37.598,-93.323,98.022
2.303,1.222,1.839,-31.128,-86.060,70.801
2.657,1.054,2.016,-28.503,-86.487,31.738
2.722,0.890,2.166,-29.724,-106.873,-15.259
2.611,0.677,2.176,-26.794,-129.822,-64.575
2.478,0.498,2.114,-12.878,-123.047,-101.624
2.340,0.380,1.998,6.775,-87.891,-126.526
2.170,0.232,1.890,19.165,-47.729,-145.935
1.948,0.060,1.809,23.865,-19.470,-168.945
1.752,-0.133,1.799,27.100,-1.770,-186.829
1.571,-0.318,1.785,32.837,9.216,-198.120
